target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C/2019 E3,2023-03-19 07:22:00.003,2023-03-19 07:27:40.003,5.67,0h19m50.48304s,-71d47m20.688s,{'filter': 'i'},60,5
C/2019 E3,2023-03-19 07:27:40.003,2023-03-19 07:33:20.003,5.67,0h19m50.48304s,-71d47m20.688s,{'filter': 'r'},60,5
C/2019 E3,2023-03-19 07:33:20.003,2023-03-19 07:39:00.003,5.67,0h19m50.48304s,-71d47m20.688s,{'filter': 'g'},60,5
TransitionBlock,2023-03-19 07:39:00.003,2023-03-19 07:40:20.003,1.33,,,[],,
m7,2023-03-19 07:40:20.003,2023-03-19 07:46:00.003,5.67,1h11m33.88s,-34d50m18s,{'filter': 'i'},60,5
m7,2023-03-19 07:46:00.003,2023-03-19 07:51:40.003,5.67,1h11m33.88s,-34d50m18s,{'filter': 'r'},60,5
m7,2023-03-19 07:51:40.003,2023-03-19 07:57:20.003,5.67,1h11m33.88s,-34d50m18s,{'filter': 'g'},60,5
TransitionBlock,2023-03-19 07:57:20.003,2023-03-19 07:59:20.003,2.0,,,[],,
C2021_S3,2023-03-19 07:59:20.003,2023-03-19 08:14:40.003,15.33,5h15m54.78s,-31d36m59.9s,{'filter': 'g'},300,3
TransitionBlock,2023-03-19 08:14:40.003,2023-03-19 08:15:40.003,1.0,,,[],,
C2021_Y1,2023-03-19 08:15:40.003,2023-03-19 08:31:00.003,15.33,3h40m52.71s,-18d34m52.7s,{'filter': 'r'},300,3
C2021_Y1,2023-03-19 08:31:00.003,2023-03-19 08:46:20.003,15.33,3h40m52.71s,-18d34m52.7s,{'filter': 'g'},300,3
TransitionBlock,2023-03-19 08:46:20.003,2023-03-19 08:47:20.003,1.0,,,[],,
C2022_E3,2023-03-19 08:47:20.003,2023-03-19 09:02:40.003,15.33,4h44m57.32s,-5d16m41s,{'filter': 'r'},300,3
TransitionBlock,2023-03-19 09:02:40.003,2023-03-19 09:04:40.003,2.0,,,[],,
C2022_A3,2023-03-19 09:13:00.007,2023-03-19 09:28:20.007,15.33,8h46m10.8s,-6d57m00.3s,{'filter': 'r'},300,3
TransitionBlock,2023-03-19 09:28:20.007,2023-03-19 09:29:20.007,1.0,,,[],,
C2021_G2,2023-03-19 09:29:40.008,2023-03-19 09:45:00.008,15.33,8h44m55.81s,-36d51m20.8s,{'filter': 'r'},300,3
C2021_G2,2023-03-19 09:45:00.008,2023-03-19 10:00:20.008,15.33,8h44m55.81s,-36d51m20.8s,{'filter': 'g'},300,3
TransitionBlock,2023-03-19 10:00:20.008,2023-03-19 10:01:20.008,1.0,,,[],,
C2022_A3,2023-03-19 10:01:20.008,2023-03-19 10:16:40.008,15.33,8h46m10.8s,-6d57m00.3s,{'filter': 'g'},300,3
TransitionBlock,2023-03-19 10:16:40.008,2023-03-19 10:18:40.008,2.0,,,[],,
C2021_S3,2023-03-19 10:18:40.008,2023-03-19 10:34:00.008,15.33,5h15m54.78s,-31d36m59.9s,{'filter': 'r'},300,3
TransitionBlock,2023-03-19 10:34:00.008,2023-03-19 10:36:00.008,2.0,,,[],,
C2022_E2,2023-03-19 10:36:00.008,2023-03-19 10:51:20.008,15.33,9h19m43.04s,-12d14m14.3s,{'filter': 'r'},300,3
C2022_E2,2023-03-19 10:51:20.008,2023-03-19 11:06:40.008,15.33,9h19m43.04s,-12d14m14.3s,{'filter': 'g'},300,3
TransitionBlock,2023-03-19 11:06:40.008,2023-03-19 11:07:20.008,0.67,,,[],,
157P,2023-03-19 11:13:20.011,2023-03-19 11:28:40.011,15.33,10h28m27.81s,-10d15m32.6s,{'filter': 'r'},300,3
157P,2023-03-19 11:28:40.011,2023-03-19 11:44:00.011,15.33,10h28m27.81s,-10d15m32.6s,{'filter': 'g'},300,3
TransitionBlock,2023-03-19 11:44:00.011,2023-03-19 11:46:00.011,2.0,,,[],,
C2022_S3,2023-03-19 11:46:00.011,2023-03-19 12:01:20.011,15.33,6h45m27.42s,-13d32m08.2s,{'filter': 'r'},300,3
C2022_S3,2023-03-19 12:01:20.011,2023-03-19 12:16:40.011,15.33,6h45m27.42s,-13d32m08.2s,{'filter': 'g'},300,3
TransitionBlock,2023-03-19 12:16:40.011,2023-03-19 12:19:00.011,2.33,,,[],,
C2019_E3,2023-03-19 12:19:00.011,2023-03-19 12:34:20.011,15.33,4h57m42.54s,-71d49m03.2s,{'filter': 'r'},300,3
C2019_E3,2023-03-19 12:34:20.011,2023-03-19 12:49:40.011,15.33,4h57m42.54s,-71d49m03.2s,{'filter': 'g'},300,3
TransitionBlock,2023-03-19 12:49:40.011,2023-03-19 12:51:20.011,1.67,,,[],,
C2019_L3,2023-03-19 12:51:20.011,2023-03-19 13:06:40.011,15.33,9h07m34.1s,-34d29m56.6s,{'filter': 'r'},300,3
C2019_L3,2023-03-19 13:06:40.011,2023-03-19 13:22:00.011,15.33,9h07m34.1s,-34d29m56.6s,{'filter': 'g'},300,3
TransitionBlock,2023-03-19 13:22:00.011,2023-03-19 13:24:00.011,2.0,,,[],,
A2019_U5,2023-03-19 13:24:00.011,2023-03-19 13:39:20.011,15.33,12h18m41.64s,-1d07m56.7s,{'filter': 'r'},300,3
A2019_U5,2023-03-19 13:39:20.011,2023-03-19 13:54:40.011,15.33,12h18m41.64s,-1d07m56.7s,{'filter': 'g'},300,3
TransitionBlock,2023-03-19 13:54:40.011,2023-03-19 13:58:00.011,3.33,,,[],,
C2021_C5,2023-03-19 15:11:00.020,2023-03-19 15:26:20.021,15.33,19h00m26.18s,-74d17m15.4s,{'filter': 'g'},300,3
C2021_C5,2023-03-19 15:26:20.021,2023-03-19 15:41:40.021,15.33,19h00m26.18s,-74d17m15.4s,{'filter': 'r'},300,3
TransitionBlock,2023-03-19 15:41:40.021,2023-03-19 15:44:40.021,3.0,,,[],,
C2023_A3,2023-03-19 15:45:00.021,2023-03-19 16:00:20.022,15.33,15h16m25.85s,-0d11m09.1s,{'filter': 'r'},300,3
C2023_A3,2023-03-19 16:00:20.022,2023-03-19 16:15:40.022,15.33,15h16m25.86s,-0d11m09.1s,{'filter': 'g'},300,3
C2023_A3,2023-03-19 16:15:40.022,2023-03-19 16:31:00.022,15.33,15h16m25.86s,-0d11m09.1s,{'filter': 'r'},300,3
C2023_A3,2023-03-19 16:31:00.022,2023-03-19 16:46:20.022,15.33,15h16m25.85s,-0d11m09.1s,{'filter': 'g'},300,3
TransitionBlock,2023-03-19 16:46:20.022,2023-03-19 16:48:00.022,1.67,,,[],,
C2020_R7,2023-03-19 16:48:20.024,2023-03-19 17:03:40.024,15.33,18h07m37.62s,+7d02m13.6s,{'filter': 'r'},300,3
TransitionBlock,2023-03-19 17:03:40.024,2023-03-19 17:06:40.024,3.0,,,[],,
C2021_P4,2023-03-19 17:07:00.024,2023-03-19 17:22:20.025,15.33,22h18m34.48s,-61d26m22s,{'filter': 'r'},300,3
C2021_P4,2023-03-19 17:22:20.025,2023-03-19 17:37:40.025,15.33,22h18m34.48s,-61d26m22s,{'filter': 'g'},300,3
TransitionBlock,2023-03-19 17:37:40.025,2023-03-19 17:40:00.025,2.33,,,[],,
81P,2023-03-19 17:40:20.026,2023-03-19 17:55:40.026,15.33,17h24m54.13s,-19d03m28.2s,{'filter': 'r'},300,3
81P,2023-03-19 17:55:40.026,2023-03-19 18:11:00.026,15.33,17h24m54.13s,-19d03m28.2s,{'filter': 'g'},300,3
